,dataset,engaged_class,TSC,L1_state,L2_migration,L3_synapse,L4_killing,b_activation,b_cd8_identity,b_total_counts,n_counts,cd8
D3_1,exposed,medium-exposed,0.38377012480090267,0.7944740689316145,0.7001677741182141,0.5588529114542091,-0.22576152779419842,-1.150133839118042,1.7616403286056586,1.120638593062849,11357.1,CD8+
D4_1,exposed,medium-exposed,0.44104204992690454,3.654873234114139,1.0868493635424594,-0.1938909227113712,-1.437353177040726,-1.3106060820216427,-4.112828452712141,-0.77949645284965,3561.1,CD8-
D5_1,exposed,medium-exposed,-0.24789718315218776,0.2034103811133946,0.304726633641004,-0.2969395894400152,-1.1278578435025408,-0.6727996007914239,-1.7369315265276128,0.8324604798041774,9525.400000000001,CD8+
D8_1,exposed,medium-exposed,-0.04253373759146566,0.6558862612232346,0.01297662399435902,-0.17738285432518278,-0.420012503862168,-0.708431552961013,-0.06969578775849557,0.469468342977633,7632.5,CD8+
D9_1,exposed,medium-exposed,0.6692843375037261,0.4874150664990945,2.4390910550296825,0.8751073770800716,-0.944931775508977,-1.1008223788485128,0.9379954639122882,-0.007938968653832758,5703.200000000001,CD8+
D11_1,exposed,medium-exposed,-0.04400329960434929,3.2446717726277354,0.09969540423151126,-0.8802757362722935,-1.444896285132059,-1.008595630090983,-3.4498831968534796,-0.8493223242818508,3412.5,CD8+
D12_1,exposed,medium-exposed,0.4741653299468676,3.6618333531203806,0.18363753510879172,1.004624255344947,-1.6045596938794568,-1.135773565775732,-2.7873683071597704,0.2014717921324083,6480.8,CD8-
D14_1,exposed,medium-exposed,1.1375617842273202,1.844883217340143,2.8198823299953415,1.739879181149832,-1.174815807099275,-1.2217410297453126,-1.6851675835085878,-0.9842441445242778,3142.7,CD8-
D15_1,exposed,medium-exposed,0.8353784781846508,1.3368803664695361,1.6392958016149461,1.190644189177284,-0.3328527561064141,-1.057748215609565,0.6242739788212669,1.307068252627507,12725.7,CD8+
D16_1,exposed,medium-exposed,0.4838778093802575,1.1324394510114653,1.4987302293654872,0.4904923430705933,-0.7690050198981373,-0.6051545835323086,-0.6596571309092536,0.09604335220953962,6076.9,CD8+
D17_1,exposed,medium-exposed,-0.047100103372059554,0.7709208168635726,0.3448158726990604,0.45196584455526884,-1.472126303724168,-1.1558264860994902,-2.985745579450718,0.26338761561813534,6730.4,CD8-
D19_1,exposed,medium-exposed,0.6092218476073754,3.4695790278978595,1.6229120219616244,0.32398657386915697,-1.7015349694210207,-1.4173262582305575,-3.73588737653193,0.6003669135895694,8267.3,CD8-
D20_1,exposed,medium-exposed,-0.05548412302165873,3.3645728306791365,0.11539794718944002,-0.8581019926753355,-1.6044301305041835,-1.2432508275280911,-1.9243782282292732,0.21531747580547697,6535.8,CD8+
D21_1,exposed,medium-exposed,0.4264264134609935,2.1022443901869656,1.7069699994285106,-0.34558476373632235,-0.983540541874616,-0.916458342557205,-0.04357356710292737,-0.1530753225859679,5219.7,CD8-
D23_1,exposed,medium-exposed,0.2338963967450568,-0.4497766230304342,1.5506594635486037,0.7088271116040258,-1.0398042288981348,-1.213376043876811,0.48846981834027847,-0.40981060374505196,4462.599999999999,CD8+
E2_1,exposed,medium-exposed,-0.5928668225187097,-1.6775166382868711,-1.3228722841217209,-0.706491639127217,0.7174826947060606,-0.4484979511116055,1.6031073808388663,-2.974255534551151,932.3,CD8+
E4_1,exposed,medium-exposed,0.3275358285564825,-0.24016460520013794,1.0594633518033991,1.1851204190897016,-0.7827429638761185,-0.7027117705845438,-0.46879789492524526,-3.4715587341763245,688.0,CD8-
E6_1,exposed,medium-exposed,0.017806898651608005,-1.8849719058182104,0.9116874774371742,0.8334217134244494,-0.4832585572944549,-0.5416419988287743,1.519719569254599,-0.029190447079084577,5629.700000000001,CD8+
E7_1,exposed,medium-exposed,0.5513173624661967,1.255334133696549,1.3009629871141786,0.6796806647011371,-0.5682930441675194,-0.9970940359108381,0.8352936507980175,-0.5517635760112076,4092.2000000000003,CD8+
E8_1,exposed,medium-exposed,0.7335806288470317,1.2697988935439917,1.4903666295166051,1.53983956813999,-0.8979390406713181,-1.4027142243155397,-1.5196470714656882,-0.13155991881410475,5288.700000000001,CD8+
E9_1,exposed,medium-exposed,-0.3459191418063975,-1.2381070895460171,0.34315801604273316,0.09052398950575197,-1.0353210150979884,-0.6808361331361087,-0.138603556550424,-0.7937266989381799,3530.3,CD8-
E10_1,exposed,medium-exposed,0.28870321742667115,0.7093040311367391,0.6598368899310486,0.12530921805061668,-0.07835780484407591,-1.2799703240726334,1.8667829966635732,0.2570461235680997,6704.400000000001,CD8+
E11_1,exposed,medium-exposed,-0.0657128747771975,-0.17099982979829897,0.03543297758424433,0.759308217874406,-0.949582417922047,-0.9931136762894617,-1.1055335108184297,-0.4497581009107014,4355.1,CD8-
E12_1,exposed,medium-exposed,-0.1527633313730049,1.9146722214328338,0.49805422938140337,-0.9648770026191358,-1.3536134888697458,-1.0470545879766195,-2.1119158910293567,-0.5336489593220568,4137.700000000001,CD8-
E13_1,exposed,medium-exposed,0.1420655189306974,3.0423167089793317,1.2634712204400815,-1.444771178189869,-1.1720858989689866,-0.8567584715356408,-4.9575019504251046,-1.6765698438999268,2059.4,CD8-
E15_1,exposed,medium-exposed,0.3102749998692435,0.2892228709282212,0.6961354890046206,0.8042080808696593,-0.4419282101304554,-0.6127572308610563,0.16094802111732706,0.3491760186613806,7092.2,CD8+
