gene,M,Sp,R,S,n_cells,n_guides
HLA-H,11.677184104919434,0.1050562635064125,0.27964698446928277,0.2514351010322571,336,3
HNRNPA1,14.761405944824219,0.1322232186794281,0.1698893099861345,0.4476125240325928,243,3
HNRNPC,19.28265380859375,0.16305918991565704,,0.19193975627422333,96,1
HSPA1A,12.961331367492676,0.1194978803396225,0.2294193151806497,0.4198977053165436,287,3
IDH2,16.444293975830078,0.1510409116744995,-0.12069508666890798,0.6614105105400085,355,3
IDI2-AS1,14.571533203125,0.13579460978507996,-0.02942030937736213,0.6777318120002747,341,3
IFNGR1,23.97186851501465,0.2171560376882553,0.7646112368733431,0.9231036305427551,291,3
IFNGR2,23.903499603271484,0.21699512004852295,0.7913077730494358,0.9417976140975952,385,3
ILF2,24.205076217651367,0.20878389477729797,0.22256956146572215,0.43555283546447754,71,2
IRF3,13.599458694458008,0.12323784828186035,0.09711841546468845,0.6119495630264282,317,3
IRF4,14.832520484924316,0.13629767298698425,-0.0489163724399786,0.5268963575363159,282,3
ISYNA1,16.45651626586914,0.1470842957496643,0.0576770854297472,0.6156874895095825,214,3
ITGA3,13.347977638244629,0.12150144577026367,0.26854050366438764,0.34919172525405884,286,3
JAK1,23.174043655395508,0.21114705502986908,0.8141375504713203,0.9165339469909668,338,3
JAK2,24.428489685058594,0.21822449564933777,0.793205244958441,0.9528892636299133,340,3
JMJD7,11.317580223083496,0.10479526966810226,0.22363314041290105,0.34694650769233704,363,3
JPT1,14.929991722106934,0.13065585494041443,0.14012840167634594,0.32920557260513306,198,3
KCNN4,10.533602714538574,0.09496160596609116,0.30770864322682834,0.16068656742572784,356,3
KDR,11.585836410522461,0.10679659247398376,0.1877031243037751,0.34987130761146545,347,3
KLF4,12.691283226013184,0.11519870907068253,0.3186555380116951,0.3220946490764618,289,3
LAMP2,13.731098175048828,0.1261148750782013,0.1759669239034695,0.4888031482696533,308,3
LCP1,11.658537864685059,0.107014000415802,0.3167170699643594,0.3328772187232971,360,3
LEF1-AS1,10.689512252807617,0.09705576300621033,0.25995797913163265,0.2218283712863922,358,3
LGALS3,12.124818801879883,0.10452347248792648,0.33177235910498815,0.1787215769290924,263,3
LGALS3BP,14.182680130004883,0.13252738118171692,0.060745909594144054,0.4493538737297058,253,3
