gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
MAN1C1,5.157158374786377,0.013860647566616535,0.0028233006596565247,0.03413313627243042,59,True,0.21440536013400335
DDAH2,5.185998439788818,0.1257692277431488,0.056074079126119614,0.4316716492176056,77,True,0.7252931323283083
NR1H3,4.822275638580322,0.024854715913534164,-0.05709920823574066,0.04946323484182358,75,True,0.1750418760469012
OAS3,5.508293628692627,0.03460894525051117,0.05278077349066734,1.028170108795166,69,True,0.41792294807370184
TMEM258,6.269826889038086,0.16845570504665375,0.26170629262924194,1.3207780122756958,92,True,0.88107202680067
UBE2F-SCLY,4.07532262802124,0.054139651358127594,-0.00972750224173069,,105,False,
TAPBP,6.0028533935546875,0.056636981666088104,0.059830524027347565,1.8649173974990845,58,True,0.4882747068676717
PPP2R1B,3.5767199993133545,0.0006192472646944225,-0.12407791614532471,0.10956243425607681,118,False,
TNFRSF11A,4.963940620422363,0.031170185655355453,-0.04036121815443039,0.00957291480153799,85,True,0.21440536013400335
RAD54B,4.542860507965088,0.08830539137125015,0.022111963480710983,0.04595346003770828,89,False,
IQCH,4.2054266929626465,0.10775680840015411,-0.07695180177688599,0.0027021714486181736,97,False,
SERHL2,4.05863094329834,0.003123049158602953,-0.010013741441071033,0.025345319882035255,96,False,
CTSZ,4.398368835449219,0.002695416798815131,-0.05267687514424324,0.8028821349143982,110,False,
TYK2,7.068477153778076,0.1954343616962433,0.6181778907775879,0.3368588387966156,151,True,0.9020100502512562
SOCS1,4.479936122894287,0.03227164223790169,-0.1839536726474762,0.16017554700374603,107,False,
CLIC1,4.1117753982543945,0.00798956211656332,-0.14310967922210693,1.8542602062225342,100,False,
CTNND1,4.331995964050293,0.057525377720594406,-0.011924716643989086,0.17718157172203064,89,False,
