gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
DLEC1,4.13234806060791,0.007673525717109442,0.014776015654206276,0.0007072859443724155,97,False,
IL1B,3.6814770698547363,0.008377857506275177,-0.034723058342933655,2.0158350467681885,116,False,
SNX13,4.171175479888916,0.08159059286117554,-0.023558950051665306,0.19370709359645844,103,False,
SLC12A5,4.139120578765869,0.0051289829425513744,-0.053560830652713776,0.06817392259836197,112,False,
IGSF11,4.72769832611084,0.0020181669387966394,0.03433423861861229,0.005547921638935804,86,True,0.3174204355108877
RPN2,4.157159328460693,0.04117801412940025,0.03209645301103592,1.057687520980835,117,False,
RAD54L,3.479233503341675,0.053978219628334045,0.04528820887207985,0.04543502256274223,141,False,
ZFP36,5.1597771644592285,0.19226796925067902,0.02492871880531311,0.1339130848646164,107,True,0.7135678391959799
IL6ST,4.375137805938721,0.057520490139722824,0.05801505595445633,0.2010129988193512,109,False,
ZCCHC11,4.237267017364502,0.06212431564927101,0.012376858852803707,,89,False,
E2F7,5.109388828277588,0.1650008261203766,0.022452164441347122,0.1484670639038086,111,True,0.6993299832495812
TUBGCP2,5.594651699066162,0.11636269092559814,0.10623328387737274,0.4703215956687927,69,True,0.7512562814070352
ADO,4.268046855926514,0.043132342398166656,0.020899876952171326,0.23059086501598358,105,False,
AGPAT1,4.069400787353516,0.035320013761520386,-0.02952667698264122,0.44261589646339417,114,False,
BRD7,4.560454845428467,0.05563199147582054,0.0035289605148136616,0.5033860802650452,83,False,
MS4A14,4.1627726554870605,0.03511996939778328,-0.03452533483505249,0.06247720494866371,108,False,
HLA-DRB6,4.784426212310791,0.027070432901382446,0.056744739413261414,,85,True,0.4698492462311558
MICB,6.076234340667725,0.12119220942258835,0.1137150302529335,0.06732220202684402,67,True,0.7437185929648241
IRAK3,3.9974365234375,0.0829172283411026,-0.04541947320103645,0.11529207229614258,101,False,
JAGN1,4.726093292236328,0.03742935508489609,0.018412290140986443,0.3265075385570526,90,True,0.43634840871021774
OTUD3,4.432590961456299,0.007922244258224964,0.02180093713104725,0.043399956077337265,89,False,
TANK,7.60504674911499,0.04201052337884903,-0.04216941446065903,0.737974226474762,72,True,0.18090452261306533
S100A8,5.510191440582275,0.018294677138328552,0.03941477835178375,0.11171645671129227,60,True,0.3015075376884422
APOM,4.11933708190918,0.060319967567920685,-0.023991482332348824,0.0472821369767189,97,False,
TMPRSS11F,4.940648078918457,0.02571863681077957,0.034370455890893936,,110,True,0.39698492462311563
SLC35C1,4.506097316741943,0.0404762364923954,-0.059901487082242966,0.028610557317733765,96,False,
CASP8,4.259951591491699,0.047270677983760834,-0.12602634727954865,0.2870335876941681,88,False,
CCDC88B,5.115905284881592,0.004776099231094122,0.0361323356628418,0.07227393984794617,72,True,0.28224455611390287
IRAK2,4.584010124206543,0.045541416853666306,0.008356085978448391,0.3086216449737549,89,False,
C1GALT1C1L,4.3339385986328125,0.03281774744391441,0.06135920062661171,0.001216981909237802,98,False,
WASHC5,3.9345953464508057,0.013435829430818558,-0.02925615943968296,0.1732957810163498,114,False,
RNGTT,6.171648979187012,0.17707593739032745,0.17766906321048737,0.15561939775943756,73,True,0.845896147403685
BACH2,4.741464138031006,0.09361419826745987,0.08261267095804214,0.011694828048348427,101,True,0.7897822445561139
FCGR2B,5.731869697570801,0.013121810741722584,0.057965222746133804,0.005645452998578548,64,True,0.3056951423785595
TRAM1,3.9590811729431152,0.05315347760915756,0.0032779891043901443,0.5752836465835571,106,False,
IFI30,5.319880962371826,0.060501884669065475,0.06964593380689621,0.0889129564166069,122,True,0.576214405360134
TOLLIP-AS1,5.005370616912842,0.020206280052661896,0.08265522122383118,0.016751203685998917,90,True,0.46147403685092125
IL10,5.430522441864014,0.11892242729663849,-0.03792840242385864,0.03869284316897392,76,True,0.45477386934673364
