gene,M_prot,S_prot,R_prot,n_cells,S_resid,R_resid,C_prot,C_rna
NSG1,241.8837890625,0.9691709876060486,0.9822926945153995,400,13.999999999999986,25.999999999999993,0.7520325203252033,
NUP50-AS1,278.1693420410156,0.9681962132453918,0.92727320955967,400,-2.9970463427532366,-34.78596948317448,0.3089430894308943,
P2RX4,267.3211669921875,0.9631001353263855,0.9905647358059402,323,-23.331364228502167,37.80935367788368,0.5731707317073171,0.3025210084033613
PABPC1,199.22457885742188,0.9597023725509644,0.9195752999281304,226,-15.671589428744646,0.976615805290777,0.43089430894308944,0.4873949579831932
PAICS,226.06202697753906,0.9741607904434204,-0.3367541439985129,229,55.33136422850213,-50.80935367788369,0.5040650406504065,0.680672268907563
PET100,270.5388488769531,0.9652411341667175,0.9870903521110184,322,-17.164205285627702,24.511692097354597,0.5772357723577236,0.7773109243697479
PFDN4,211.29193115234375,0.9595744609832764,0.5748190782586108,400,-20.795481807277106,-23.193122750899647,0.25203252032520324,
PFN1,319.808837890625,0.9701268076896667,0.9897471656742773,331,-2.2851440069133844,13.555984057989704,0.5853658536585367,0.5798319327731092
PIK3IP1,187.2163848876953,0.947884738445282,0.9446201958959964,400,-29.63127652164942,17.29518515174574,0.45121951219512196,
PRELID3B,286.720458984375,0.981066107749939,0.9771117388068333,100,44.42085101443291,-3.5301234344971704,0.6585365853658537,0.2983193277310924
PROS1,205.52256774902344,0.9558602571487427,0.8633878224175321,400,-23.50443048587018,-12.321045775238304,0.26422764227642276,
PSAP,182.55145263671875,0.9628719687461853,0.9301305388242315,400,6.285144006913349,10.444015942010282,0.6016260162601625,
PSMB8-AS1,221.0018768310547,0.9626182913780212,0.9863358126201632,400,-10.91937418580956,47.63713869290992,0.6788617886178862,
PTMA,228.6551055908203,0.9525261521339417,0.9874214018753786,400,-40.585056300060636,45.04181553185177,0.5203252032520325,0.9915966386554622
PUF60,215.82705688476562,0.9674314260482788,0.9645527533019941,234,16.37167713559736,12.509215668571272,0.6707317073170731,0.7436974789915967
RACK1,291.72894287109375,0.9652999639511108,,36,-23.411990042692622,-21.82778501502625,0.23170731707317072,
RB1,195.2275390625,0.9662318229675293,0.9511254574919272,400,18.703041364099505,16.69986199068758,0.7154471544715447,
RBP7,192.01409912109375,0.9737589955329895,0.9604056964947992,400,63.161251628380896,20.274277385819857,0.8821138211382114,
RNF213,281.0334777832031,0.9702929854393005,0.8856518052331879,400,11.170112600121229,-48.083631063703564,0.34146341463414637,
RPSA,180.8823699951172,0.9729159474372864,0.8497299359406637,331,64.11798506403889,-2.2583224774606414,0.7154471544715447,0.315126050420168
RRS1,272.946533203125,0.9722833037376404,0.9757936486388786,195,26.37758445009092,-2.0627232977776657,0.6219512195121951,0.542016806722689
RTP4,237.00250244140625,0.9660807251930237,0.9810505191833725,400,-0.6253692071558632,24.723246185396803,0.6869918699186992,
RUVBL2,180.77296447753906,0.9544455409049988,0.6861000751710501,66,-16.423804671679726,-6.683907082328371,0.35772357723577236,0.2899159663865546
S100A6,236.02769470214844,0.9674123525619507,0.7151033999731214,400,4.291051321406904,-35.12792302433866,0.3414634146341463,
SAE1,233.14398193359375,0.9506041407585144,0.9447558972638631,94,-44.876107621467554,-5.830261443809583,0.22357723577235772,0.4579831932773109
SAT1,219.04953002929688,0.9693297147750854,0.9129670742302132,400,27.997046342753208,-10.214030516825538,0.5650406504065041,
SCARB2,177.8909149169922,0.9578269124031067,-0.3159316024562187,400,-9.507384143116958,-21.535076292063835,0.32926829268292684,
SDCBP,231.02816772460938,0.9737958908081055,0.8568981115683759,400,49.49852317137659,-27.107015258412773,0.5487804878048781,
SEC11C,279.5164794921875,0.9645400047302246,0.9920274792186287,400,-22.913466871316018,38.06519972656099,0.5894308943089431,
SERPINA3,277.4854431152344,0.9700708389282227,0.9740571722747547,400,10.91937418580953,-3.6371386929099287,0.5040650406504066,
SERPINE2,261.78692626953125,0.9623839855194092,0.9912846069845793,400,-27.04031290709524,42.68143065354502,0.5691056910569106,
SERPINF1,269.0234069824219,0.9761199355125427,0.9375643807953336,400,46.210425507216456,-26.765061717248585,0.5528455284552846,
SGK1,218.56304931640625,0.9587985873222351,-0.12345177986336105,400,-24.544743392965408,-34.63961512169327,0.17073170731707318,
SHMT2,255.20989990234375,0.96186363697052,0.9915483802798342,400,-25.29105132140694,48.12792302433864,0.5853658536585367,0.634453781512605
SLC19A1,289.44378662109375,0.9709495306015015,0.9893983691684114,400,11.50443048587016,21.32104577523829,0.7113821138211383,0.6050420168067226
SLC22A18,233.0998077392578,0.9642139673233032,0.976547592600923,400,-8.417897357186177,19.744153951322687,0.6056910569105691,
SLC25A13,244.52525329589844,0.9633103609085083,0.900202708190887,400,-16.374630792844172,-29.723246185396818,0.25609756097560976,
SLC26A2,214.03358459472656,0.9685907363891602,0.943255823775082,400,24.288097664160126,2.6580464588358126,0.6382113821138211,
SLC5A3,270.1008605957031,0.9736588001251221,0.9914994174701798,400,33.294004978653675,39.08610749248686,0.8943089430894309,
SLC7A5P1,244.1868896484375,0.9715813398361206,0.9730792370347441,400,29.08357947143722,6.851169209735453,0.7032520325203252,
SLIRP,331.05291748046875,0.9802074432373047,0.9957975899110906,400,32.88201493596108,27.258322477460624,0.8577235772357723,0.8067226890756303
SMAD3,299.59527587890625,0.9689523577690125,0.9920362638505629,400,-7.619461892662315,28.15130721904785,0.6707317073170732,
SMAD4,234.66876220703125,0.9641883373260498,0.9799236710919549,400,-10.792528150030321,24.020907765925884,0.6097560975609756,
SNHG6,259.1035461425781,0.9699825644493103,0.9511143772574097,400,16.334317885748902,-13.595323161058161,0.49186991869918706,
SOX4,235.35858154296875,0.9649333953857422,0.9440750765698566,400,-7.250738414311712,-9.553507629206393,0.4065040650406504,
SP100,259.9476318359375,0.9604697227478027,0.9778034245069299,400,-35.123892378532474,11.830261443809576,0.3739837398373984,
SPESP1,237.68325805664062,0.9626927971839905,0.9644501957875438,400,-19.083579471437247,-2.851169209735467,0.3617886178861789,
SPINT1,211.14132690429688,0.9674290418624878,-0.15343244426185634,400,17.662728457004278,-31.618707355767384,0.42276422764227645,
SSR2,288.44769287109375,0.9652683138847351,-0.0796726286353382,400,-23.037359249848464,-68.10453882962943,0.13821138211382114,0.8319327731092436
ST3GAL6-AS1,231.61407470703125,0.9658446311950684,0.9693588747798998,400,2.0403129070952133,9.318569346454957,0.5853658536585367,
ST6GALNAC2,256.3269348144531,0.9743143320083618,0.9649599253788655,400,45.79252815003029,-6.020907765925898,0.6463414634146342,0.5
STAT1,277.5973205566406,0.9384168982505798,0.8339884440944395,400,-69.53883607847186,-49.211554088042206,0.044715447154471545,0.8739495798319328
STAT3,217.54745483398438,0.9686559438705444,0.9068137644969094,400,23.913466871315975,-10.065199726560998,0.5447154471544715,0.9117647058823528
STOM,249.3774871826172,0.970589816570282,0.9668368235567621,400,23.16715894287445,-0.29766158052908054,0.6097560975609756,
STX7,283.4953918457031,0.9721468687057495,0.987767636506579,400,20.79548180727707,20.193122750899633,0.7439024390243902,
TAPBP,326.1999816894531,0.9739543199539185,0.9759859808860512,400,20.79843546452385,-20.592846732274836,0.4878048780487805,0.8361344537815125
TAPBPL,294.1203918457031,0.9719124436378479,0.9840100783277496,400,15.21337916446322,5.448968799576932,0.6178861788617886,0.9915966386554622
TFAP2A,295.445556640625,0.9717676043510437,0.9826276443656726,400,11.296958635900467,2.3001380093124055,0.565040650406504,
TGFB1,263.7642517089844,0.964286208152771,0.9653308132515344,400,-17.498523171376632,-7.892984741587242,0.33333333333333337,
TIMM50,358.3297424316406,0.9759838581085205,0.9895365025715098,341,25.965594407398314,9.109491687196083,0.6951219512195121,0.2184873949579832
TIMP1,266.51837158203125,0.9692249894142151,0.9602698019559721,400,8.12684603577921,-14.61623092698406,0.4390243902439024,0.7983193277310925
TIMP2,220.85736083984375,0.9776742458343506,0.895887991958284,400,65.53883607847182,-16.788445911957808,0.6422764227642277,0.7058823529411764
TIMP3,210.38055419921875,0.9658123850822449,-0.19929783505645507,400,11.120938721285668,-33.04429196063511,0.37398373983739835,0.8949579831932772
TM4SF1,315.61798095703125,0.9654284715652466,0.9924727198441933,400,-28.368723478350617,26.704814848254244,0.516260162601626,0.3445378151260504
TMED10,229.51065063476562,0.9783009886741638,-0.28780408049335954,163,61.95673343565798,-45.5325998632805,0.524390243902439,0.5546218487394958
TMEM173,269.727294921875,0.9650832414627075,0.9846022475871797,400,-17.247784757064935,19.660522887619138,0.540650406504065,
TOP1MT,344.5906677246094,0.9730376601219177,0.9887968627305602,400,12.423804671679704,6.683907082328361,0.6178861788617886,0.4663865546218487
TP53,240.1857147216797,0.9708104729652405,0.9808455544347051,400,27.45821026428137,22.574415395132263,0.7967479674796748,
TPP1,209.0808868408203,0.9693267941474915,0.9861029656107924,400,31.579148985567045,53.530123434497156,0.9065040650406504,
TRIM22,281.2272644042969,0.978628933429718,0.9766722380996283,400,43.71190233583984,-1.6580464588358268,0.6829268292682926,0.865546218487395
TSC22D3,242.86317443847656,0.9670876264572144,0.9721526448868381,400,-0.458210264281405,5.425584604867723,0.5487804878048781,
TTLL1,265.9429016113281,0.9682611227035522,0.9820959107933839,400,2.5850563000606,15.958184468148218,0.6300813008130082,
TXNDC17,319.6737060546875,0.9681863188743591,0.9860921880778258,400,-16.826933742632008,3.130399453121967,0.4349593495934959,0.8403361344537815
TYR,310.00726318359375,0.9749974012374878,0.9851620512804221,400,29.54769705021215,3.8536456385187847,0.6788617886178863,0.3193277310924369
UBA52,321.0621337890625,0.9743979573249817,-0.3301852440705464,42,25.25664572880524,-89.01843133714256,0.3902439024390244,
UBC,260.800537109375,0.9604805707931519,0.9764429284478989,226,-34.58210264281385,7.255846048677299,0.3617886178861789,0.7605042016806722
UCN2,328.4533386230469,0.9683293700218201,0.9955352527802512,400,-15.659774799757542,26.8327378725929,0.6219512195121951,0.6176470588235294
UQCRFS1,190.13832092285156,0.971500039100647,0.9460987452046711,299,50.07767215694366,16.42310817608439,0.8211382113821137,0.4159663865546218
UQCRH,236.1956024169922,0.9735429883003235,0.9763673679668455,216,42.83284105712552,14.297661580529073,0.7764227642276422,0.4621848739495798
VAT1,290.2672119140625,0.974033772945404,0.9795801639852745,400,30.046220221588754,-2.253369619893988,0.6382113821138211,0.7058823529411765
VDAC2,278.4638977050781,0.9672594666481018,0.9940037216390648,400,-10.455256607034613,42.639615121693254,0.6747967479674797,0.5840336134453782
WBP2,309.44708251953125,0.9787049293518066,0.9821783044883844,400,36.00590731449354,-2.571938966348938,0.6504065040650406,0.8151260504201681
WNT7A,307.6519470214844,0.9698880910873413,0.9940453904438336,400,-2.535882421225068,31.002476428783325,0.6951219512195121,
XAGE1A,292.143798828125,0.9718760848045349,0.9923650295899199,400,14.67158942874461,32.02338419470921,0.7804878048780488,0.5042016806722689
