gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
HSPA1A,0.13516210911726068,0.40975475839001085,0.018745090424893623,287,9.019152641296388,0.1229367926716804,,False,False
IDH2,0.19398502419785144,0.17228485750326902,0.03736092346193457,355,9.662376403808594,0.0570001192390918,0.3025210084033613,True,False
IDI2-AS1,0.163264611008933,0.05580418402427638,0.021948002576407093,341,8.379948616027832,0.0514190420508384,,False,False
IFNGR1,0.8943763032565114,0.77954121035948,-0.3043622657348705,291,15.00477695465088,0.91838401556015,0.8739495798319328,True,True
IFNGR2,0.8368209266798403,0.9175381831706566,-0.31466903334040147,385,14.554086685180664,0.9324222803115844,0.9033613445378152,True,True
ILF2,0.389918620017132,0.7295509787895144,-0.12189553796735797,71,15.872384071350098,0.1946130394935608,0.6302521008403361,True,False
IRF3,0.15863285909859093,0.15025673793476443,0.02724927008302939,317,9.80311393737793,0.0228383131325244,0.315126050420168,True,True
IRF4,0.15929569623513334,0.11599143887734532,0.02241418003229123,282,8.781904220581055,0.0139393117278814,,False,False
ISYNA1,0.246810010959752,0.0476238429693981,0.028953140268234107,214,9.22333812713623,0.012381225824356,,False,False
ITGA3,0.5667867466346286,0.1612554373417912,-0.007137203627024265,286,8.252640724182129,0.0194010138511657,,False,False
JAK1,0.7189746470992833,0.9073933539296009,-0.24112760737324856,338,15.409534454345703,0.904866337776184,0.915966386554622,True,True
JAK2,0.8382434592032112,0.9027396350324602,-0.29608823830275505,340,14.412513732910156,0.9230846166610718,0.8571428571428572,True,True
JMJD7,0.10006326347221503,0.08751399449986402,-0.0020568213579865344,363,7.19666051864624,0.1563552916049957,,False,False
JPT1,0.21441264265645327,0.016442368480839808,0.009664996059100095,198,9.498420715332031,0.1145943254232406,0.7016806722689075,True,False
KCNN4,0.1384414988481275,0.3536998911022534,0.014981183732733641,356,7.883513450622559,0.2763186693191528,,False,False
KDR,0.16396329589503333,0.03382825598651937,0.01389651447659009,347,8.295180320739746,0.077677734196186,,False,False
KLF4,0.2155324360349806,0.3160173426544852,0.02304976836230958,289,8.941033363342285,0.1334892213344574,,False,False
LAMP2,0.16021516663286925,0.03363146210710782,0.02544105276451684,308,7.873937606811523,0.1789902448654174,,False,False
LCP1,0.14199282021407894,0.3613670474952329,0.017987312981982972,360,7.811679840087891,0.1202308535575866,,False,False
LEF1-AS1,0.12366652173167755,0.30207894739326174,-0.027460686273385937,358,7.713508129119873,0.1882616132497787,,False,False
LGALS3,0.14466095424984637,0.13383636218505945,0.0059154129689885275,263,8.154508590698242,0.3710787296295166,,False,False
LGALS3BP,0.1607455717644482,0.003746955939838313,0.012990184481072179,253,8.444055557250977,0.1483086943626403,,False,False
LINC00518,0.15156475685546475,0.2251987385140652,0.029603276542578622,336,7.700250148773193,0.0153591996058821,,False,False
LRPAP1,0.18389686235541863,0.24802721290163893,-0.00042308540272610146,334,8.123479843139648,0.1471714079380035,,False,False
LRRC75A-AS1,0.24136968831067432,0.13584931902100078,0.01524397467085481,193,9.911280632019045,0.103097379207611,0.5966386554621849,True,False
LY96,0.17691472232919636,0.41804168251548485,0.02044247473387828,319,7.86627197265625,0.201846495270729,,False,False
