gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
POLD2,18.124303817749023,0.012796607799828053,0.1781575731279491,1,3.498267650604248,49,3,True,-56.512070930066926,-39.526919242273195,0.08403361344537814
PPA1,18.82063102722168,0.060142237693071365,0.31774999508897533,0,5.166674613952637,40,3,True,-36.01287565873807,-19.428713858424743,0.2563025210084034
PPIA,8.911170959472656,0.09640541672706604,0.4435094707937086,0,7.031311988830566,201,3,False,,,
PRELID3B,23.524686813354492,0.001965020317584276,0.40395776878010375,2,4.3909807205200195,39,2,True,-67.01448511608032,5.767696909272161,0.29831932773109243
PROS1,8.466682434082031,0.02279169298708439,0.4028525391125688,0,0.34197351336479187,189,3,False,,,
PSAP,8.908561706542969,0.1647564321756363,0.4453165311786545,0,3.002112627029419,278,3,False,,,
PSMB8-AS1,8.927910804748535,0.14882127940654755,0.33241090055571837,0,0.7318259477615356,201,3,False,,,
PTMA,10.001346588134766,0.3698595464229584,0.5337843144199389,2,8.2319917678833,211,3,True,59.174982196268324,63.318544366899275,0.9915966386554622
PUF60,13.180953025817871,0.298799067735672,0.38460304864978384,0,3.9088339805603027,78,3,True,48.826627261073924,3.485044865403765,0.7436974789915967
PYGB,9.015373229980469,0.09937959164381027,0.46133039980339685,0,1.8046828508377075,193,3,False,,,
RAB27A,8.91536808013916,0.1957060694694519,0.42609788493924766,0,2.226921558380127,226,3,False,,,
RB1,8.94908618927002,0.002367823850363493,0.46353713831220417,0,0.894427478313446,263,3,False,,,
RBP7,8.272185325622559,0.1707494705915451,0.47542236951728717,0,0.011851138435304165,234,3,False,,,
RNASEH2A,13.819657325744629,0.10307787358760834,0.4024551889680768,0,0.10624280571937561,103,3,True,-9.674177467597204,11.583250249252217,0.5126050420168067
RNF213,8.821274757385254,0.12965382635593414,0.4047494014584834,0,3.600273370742798,208,3,False,,,
ROMO1,17.038330078125,0.20028580725193024,0.4370945862350984,0,4.200402736663818,50,3,True,31.9887337986042,24.374875373878353,0.7521008403361344
RPSA,11.51593017578125,0.028722362592816353,0.3265930770097277,0,7.4796271324157715,110,3,True,-43.001609457342255,-4.803589232303111,0.31512605042016806
RRS1,15.779045104980469,0.12994985282421112,0.38659825418684196,0,2.265813112258911,65,3,True,5.823408346389414,0.8778664007975863,0.542016806722689
RTP4,7.668420791625977,0.13896282017230988,0.47266797831842755,0,0.39699146151542664,274,3,False,,,
RUVBL2,37.23873519897461,0.07243261486291885,,144,2.99340558052063,27,1,True,-33.68222475430849,-17.434695912263223,0.2899159663865546
S100A6,8.215313911437988,0.09109493345022202,0.4282077037850116,0,8.837453842163086,216,3,False,,,
S100B,8.200884819030762,0.05258769914507866,0.36466755350683505,0,0.002596805104985833,227,3,False,,,
SAE1,22.937124252319336,0.07752847671508789,0.4330870252587704,4,2.3923451900482178,36,2,True,-30.847550206523266,17.068295114656024,0.4579831932773109
SAT1,9.170238494873047,0.06911855936050415,0.47405045068435775,0,5.291391372680664,201,3,False,,,
SCARB2,9.213961601257324,0.0815935954451561,0.526622937071531,1,3.433166742324829,215,3,False,,,
SDC3,7.9223456382751465,0.11544778198003769,0.4114969356674603,0,0.26487624645233154,251,3,False,,,
SDCBP,8.46314525604248,0.1788800209760666,0.45602651061998856,1,4.0525126457214355,227,3,False,,,
SEC11C,8.408499717712402,0.26238712668418884,0.445215558865351,1,3.939906358718872,218,3,False,,,
SERPINA3,9.162965774536133,0.11479451507329941,0.3878064032163418,0,0.0010415330762043595,188,3,False,,,
SERPINE2,9.212787628173828,0.13576050102710724,0.488866241925571,1,5.1825480461120605,186,3,False,,,
SERPINF1,8.351221084594727,0.08316795527935028,0.3787613795086447,0,0.00449917558580637,219,3,False,,,
SET,12.145081520080566,0.26700326800346375,0.521666474518263,1,6.408448696136475,161,3,True,44.82984617575844,47.09222333000995,0.9033613445378151
SGK1,8.948904991149902,0.1573140025138855,0.4704009829982829,0,1.517385721206665,202,3,False,,,
SHMT2,9.657174110412598,0.0834842398762703,0.4259530032673737,0,2.374483585357666,162,3,True,-9.820189431704904,42.72931206380855,0.634453781512605
SINHCAF,12.977023124694824,0.28061723709106445,0.4344760589777199,0,3.078322172164917,134,3,True,47.16049708018801,28.086241276171464,0.8319327731092436
SLC19A1,9.534263610839844,0.06537178158760071,0.4179468763306025,0,0.667030394077301,165,3,True,-17.985514883919684,43.23230309072779,0.6050420168067226
SLC22A18,8.040626525878906,0.1275046020746231,0.4435832784034663,0,0.5638662576675415,286,3,False,,,
SLC25A13,8.757779121398926,0.16626311838626862,0.4582949124815851,0,1.8002254962921143,220,3,False,,,
SLC26A2,8.44198226928711,0.36461883783340454,0.46436350069068477,0,0.7302019000053406,225,3,False,,,
SLC5A3,8.761462211608887,0.05071437358856201,0.31039783151864214,0,0.6436623930931091,236,3,False,,,
SLC7A5P1,9.00996208190918,0.18359412252902985,0.39169774824417214,0,0.7160598635673523,200,3,False,,,
SLIRP,10.01524829864502,0.13278484344482422,0.45288712158394356,6,6.09286642074585,149,3,True,19.84111237715424,48.717347956131576,0.8067226890756303
SMAD3,9.314860343933105,0.2190418690443039,0.4674209287757483,0,2.0897021293640137,239,3,False,,,
SMAD4,9.041439056396484,0.21845369040966034,0.5031819926133306,1,0.7569073438644409,214,3,False,,,
SNHG6,9.187170028686523,0.2017398327589035,0.4426066062216443,0,0.7160598635673523,178,3,False,,,
SNRPG,23.528791427612305,0.12107881903648376,0.4024836434884121,0,5.817806720733643,32,2,True,-1.1814200256373653,4.467098703888325,0.5294117647058824
SOX4,8.655673027038574,0.062483109533786774,0.4911321238810446,0,1.9353071451187134,223,3,False,,,
SP100,9.274836540222168,0.346924751996994,0.503050060933791,1,3.716362476348877,206,3,False,,,
SPESP1,8.737686157226562,0.3130982518196106,0.4656150556208551,0,1.4848098754882812,214,3,False,,,
