gene,magnitude,mag_pct,specificity,coh_donor,spec_resid_pct,coh_resid_pct,ISCI_orthogonal,ISCI_combined,ISCI_combined_rank,detectable_effect,ISCI_primary_rank,known_regulator,clinical_controller
FOXRED1,16.0,0.03869047619047619,0.018965230587602227,0.5482565020913464,0.21468253968253967,0.2833333333333333,0.2490079365079365,0.13301465430192055,2358,False,,False,False
NPIPA7,24.333333333333332,0.14087301587301587,0.02653496449990725,-0.0873440099928537,0.44563492063492066,0.05238095238095238,0.2490079365079365,0.14870542278301124,2316,False,,False,False
GOLGA3,73.66666666666667,0.4656746031746032,0.025156728364704242,0.3759240688428233,0.3404761904761905,0.15714285714285714,0.2488095238095238,0.29207069344953623,1768,False,,False,False
NDEL1,28.666666666666668,0.2003968253968254,0.023259774191130567,0.37885786476238403,0.31825396825396823,0.1761904761904762,0.24722222222222223,0.22398333049839225,2061,False,,False,False
RAB22A,15.666666666666666,0.03571428571428571,0.01556381138781037,0.6234947728966466,0.13055555555555556,0.3630952380952381,0.24682539682539684,0.11918436667011625,2399,False,,False,False
CDCA2,63.0,0.42757936507936506,0.027127414040274994,0.10695121907703303,0.4166666666666667,0.0742063492063492,0.24543650793650795,0.2364551917222115,2013,False,,False,False
TRIM28,29.333333333333332,0.20753968253968255,0.021794640864310422,0.49784148163973974,0.2623015873015873,0.22857142857142856,0.24543650793650795,0.23172594920600179,2025,False,,False,False
THAP5,53.666666666666664,0.3819444444444444,0.016854472995876342,0.6593885895098558,0.09801587301587301,0.39285714285714285,0.24543650793650792,0.24500620753864585,1966,False,,False,False
PIGW,23.666666666666668,0.13115079365079366,0.016631935148074612,0.6227937521053977,0.13452380952380952,0.3543650793650794,0.24444444444444446,0.18422150792660352,2208,False,,False,False
GNMT,43.333333333333336,0.32222222222222224,0.023317845645936024,0.45060861935518515,0.29563492063492064,0.19246031746031747,0.24404761904761907,0.2636842193308473,1894,False,,False,False
CERT1,47.666666666666664,0.3490079365079365,0.017475467179470183,0.6425968260790371,0.12142857142857143,0.36626984126984125,0.24384920634920634,0.24945130655115497,1948,False,,False,False
YIPF1,46.0,0.3392857142857143,0.022763345951081992,0.474866336565174,0.2746031746031746,0.21071428571428572,0.24265873015873018,0.2697667186170534,1872,False,,False,False
MAN2A1,39.666666666666664,0.2970238095238095,0.028258256415301043,-0.3653033953942457,0.4746031746031746,0.00873015873015873,0.24166666666666667,0.10716377756836182,2429,False,,False,False
NKX6-3,46.333333333333336,0.3410714285714286,0.027510748777515075,-0.0880157233572707,0.44841269841269843,0.034523809523809526,0.24146825396825397,0.17413282734506383,2236,False,,False,False
MAP3K13,29.333333333333332,0.20753968253968255,0.0185620227513913,0.5907785331591463,0.17222222222222222,0.30912698412698414,0.24067460317460318,0.2227284789653858,2067,False,,False,False
PIGN,36.666666666666664,0.2714285714285714,0.02713832317761034,-0.11389234637313689,0.44325396825396823,0.03492063492063492,0.23908730158730157,0.16136033055501703,2281,False,,False,False
MRPL22,22.0,0.11071428571428571,0.025660854793446056,-0.0287343865429068,0.4154761904761905,0.06190476190476191,0.2386904761904762,0.14173962747115879,2342,False,,False,False
MYT1L,27.0,0.1775793650793651,0.026986322476612073,-0.3182043502217433,0.45476190476190476,0.01904761904761905,0.2369047619047619,0.11543542089119234,2408,False,,False,False
NAPB,31.333333333333332,0.22698412698412698,0.020562834901598628,0.5312628845152455,0.22142857142857142,0.2503968253968254,0.2359126984126984,0.23260514760960282,2024,False,,False,False
IFT140,13.666666666666666,0.016666666666666666,0.023638190079840745,0.1600125619006405,0.35674603174603176,0.11388888888888889,0.23531746031746031,0.08781386360290792,2476,False,,False,False
ZFAT,56.666666666666664,0.401984126984127,0.01499874539522637,0.6683162352543309,0.060714285714285714,0.40753968253968254,0.23412698412698413,0.21505847695854075,2095,False,,False,False
DDX42,81.66666666666667,0.48968253968253966,0.018526450304480777,0.6333290686605146,0.1253968253968254,0.3412698412698413,0.23333333333333334,0.2756976242703025,1846,False,,False,False
RNF7,50.0,0.360515873015873,0.017111918040748818,0.633335302553021,0.10674603174603174,0.3515873015873016,0.22916666666666669,0.23828851113169303,2007,False,,False,False
ZNF414,76.0,0.4744047619047619,0.017750526849254704,0.6382110504090327,0.10436507936507937,0.3527777777777778,0.2285714285714286,0.25945885021346715,1914,False,,False,False
TGIF2,37.333333333333336,0.2779761904761905,0.02110476153965394,0.5036616589370996,0.23015873015873015,0.22698412698412698,0.22857142857142856,0.24397398124749162,1969,False,,False,False
PLA2G4A,44.666666666666664,0.33055555555555555,0.027459546766084992,-0.2508794616536026,0.4452380952380952,0.010317460317460317,0.22777777777777777,0.11493964761220797,2410,False,,False,False
DDX31,40.666666666666664,0.30396825396825394,0.019732695014625202,0.5568125931223111,0.1873015873015873,0.26706349206349206,0.22718253968253968,0.2477392033538968,1956,False,,False,False
BPNT2,45.5,0.3349206349206349,0.016880862977810593,0.6286851980846124,0.10357142857142858,0.3476190476190476,0.2255952380952381,0.2293128960947695,2041,False,,False,False
ANKRD17,19.0,0.07301587301587302,0.021278848501721202,0.3683442308220732,0.271031746031746,0.18015873015873016,0.22559523809523807,0.15276748153185266,2300,False,,False,False
CPLANE2,14.0,0.02023809523809524,0.020762081693938266,0.4026757872882118,0.2567460317460317,0.19404761904761905,0.22539682539682537,0.10027528334953194,2450,False,,False,False
HHAT,55.0,0.39246031746031745,0.015199134405103287,0.6509106800942394,0.06984126984126984,0.3757936507936508,0.2228174603174603,0.21758006660111306,2082,False,,False,False
DNAJC4,36.0,0.2648809523809524,0.023754361401631927,0.2366942743869915,0.32063492063492066,0.12182539682539682,0.22123015873015875,0.21790463158352183,2081,False,,False,False
CALR,37.0,0.2746031746031746,0.020251034328474044,0.5079822330139828,0.20912698412698413,0.22936507936507936,0.21924603174603174,0.23616433310540694,2017,False,,False,False
POU6F1,22.0,0.11071428571428571,0.019306621793849874,0.481998649452211,0.20992063492063492,0.22817460317460317,0.21904761904761905,0.17438482875996184,2235,False,,False,False
PLEKHH2,38.333333333333336,0.2871031746031746,0.020389528802066667,0.4893968681060077,0.2119047619047619,0.22182539682539681,0.21686507936507937,0.23808388063108168,2010,False,,False,False
EEF1B2,20.0,0.0867063492063492,0.014609864518986972,0.6023839819117077,0.1,0.3333333333333333,0.21666666666666667,0.14244368991258188,2335,False,,False,False
PTDSS2,70.0,0.4523809523809524,0.01586231185681307,0.6421614176594027,0.07063492063492063,0.3595238095238095,0.2150793650793651,0.225640546541228,2054,False,,False,False
SLC4A7,69.66666666666667,0.4501984126984127,0.024382866209450984,0.2597342171137217,0.3146825396825397,0.1123015873015873,0.21349206349206348,0.2515093685753605,1946,False,,False,False
AGRN,40.666666666666664,0.30396825396825394,0.02100690908538781,0.46166505271451513,0.22301587301587303,0.2011904761904762,0.21210317460317463,0.23892254969323434,2002,False,,False,False
