gene,ISCI_core,p_value,q_value
YY1,0.9326452558988704,0.025974025974025976,0.9681849681849682
DDX6,0.9326378750431902,0.02097902097902098,0.9681849681849682
OTUB1,0.9326206012019076,0.027972027972027972,0.9681849681849682
EP300,0.9324772395698833,0.01998001998001998,0.9681849681849682
NCOA6,0.9322351171996038,0.025974025974025976,0.9681849681849682
AMBRA1,0.9318949563097806,0.03396603396603397,0.9785037097290062
SEC62,0.931852054033292,0.029970029970029972,0.9785037097290062
CD55,0.9317029900109274,0.03896103896103896,0.9785037097290062
SRRD,0.9316939729544786,0.027972027972027972,0.9681849681849682
NTAN1,0.9316501610554502,0.01998001998001998,0.9681849681849682
ZNF655,0.9316430032370561,0.026973026973026972,0.9681849681849682
CDK13,0.9314299337168452,0.03296703296703297,0.9785037097290062
