gene,magnitude,n_de,n_cells,base_expr,reproducibility,specificity,S_resid,R_resid,C,detectable,is_positive,is_matched_negative
ALX4,37.53501299744336,1305,286,0.0,0.3787318191245293,0.025056433898425882,-27.234271099744248,2.821994884910488,0.30434782608695654,True,False,False
FOSL1,51.20452273240812,2629,159,2.152253210544586,0.3683899838608021,0.1470776826904482,-13.894629156010225,-10.64545122396784,0.2826086956521739,True,False,True
ABCB10,43.28128828089327,1827,224,3.294746994972229,0.3093414239773476,0.17655451507674128,-3.70281329923273,-23.534015345268536,0.2753623188405797,True,False,True
IL2RG,28.290210796052076,554,488,5.9708521366119385,0.30903286481481096,0.017234988198603654,-20.02046035805627,-10.221410303251751,0.2536231884057971,False,True,False
IFNG,25.86868254106311,386,600,7.143081545829773,0.2794815920446438,0.020434861439491702,-15.467007672634274,-12.732261600292311,0.2536231884057971,False,False,False
RAC2,32.094543165569796,872,381,5.946873307228088,0.28418787689394176,0.06189688535915963,-13.169820971867011,-18.266276945560843,0.2463768115942029,False,True,False
P2RY14,29.647319138989047,682,443,2.2788077294826508,0.2544684495510771,0.05263805201753643,-10.978005115089516,-23.154841066861543,0.2318840579710145,False,False,False
APOL2,35.91095558517866,1193,306,3.676389753818512,0.26049987925151463,0.12502170299443294,-9.6383631713555,-28.622287175739864,0.2246376811594203,True,False,True
LHX4,45.438014270069445,2121,172,1.2351791709661484,0.369842781951782,0.010526444916282018,-39.298721227621485,-8.089733284618184,0.1956521739130435,True,False,True
APOBEC3C,37.923430296796354,1352,317,4.175646543502808,0.3199690173916612,0.043711727536195594,-23.87263427109974,-15.800292290829375,0.1956521739130435,True,False,True
DEPDC7,44.392055234073226,2042,167,0.12062899768352509,0.20053464318686973,0.14388193117112133,-12.341176470588238,-40.1563025210084,0.15942028985507245,True,False,False
MGST3,33.93812397602728,1036,315,3.607183873653412,0.2915112287172108,0.003895525260435171,-31.723273657289006,-17.755425648520287,0.15217391304347827,False,False,False
PAPOLG,39.84068331457349,1605,229,3.489045202732086,0.27164602479933236,0.11104699126804611,-16.10690537084399,-30.978297405918887,0.14492753623188406,True,False,True
AKAP12,43.03413698435439,1958,190,1.1593314111232758,0.15433014500708742,0.007207088321256187,-38.38363171355499,-40.22287175739861,0.028985507246376812,True,False,False
