gene,magnitude,nDE,S_axis,best_axis,R,S_resid,R_resid,C,base_expr,ncells,is_positive,is_negative
C3orf72,106.3534860164233,569,0.3796010562268387,erythroid,0.9441560515567738,0.49056603773584906,0.41509433962264153,0.4528301886792453,0.0,264,False,True
RREB1,91.24336144031939,330,0.31469597754111067,megakaryocyte,0.9233012273246625,0.4339622641509434,0.37735849056603776,0.4056603773584906,0.21487754583358765,331,False,True
LHX1,96.3576993273875,403,0.2073572330688151,megakaryocyte,0.9635043593795575,0.2641509433962264,0.5471698113207547,0.4056603773584906,0.05578828603029251,375,False,True
HOXC13,118.48784163759629,786,0.1601703517219051,megakaryocyte,0.9775439835760916,0.16981132075471697,0.6415094339622641,0.40566037735849053,0.05791153013706207,385,True,False
PTPN13,99.14268437570739,422,0.21254067457811612,megakaryocyte,0.9458124647825181,0.3018867924528302,0.4716981132075472,0.3867924528301887,0.0,270,False,False
HNF4A,143.0060105054857,1241,0.4150705770537,megakaryocyte,0.9621479515491639,0.5283018867924528,0.24528301886792453,0.3867924528301887,0.00025981705402955413,237,True,False
ZC3HAV1,98.39023887598492,334,0.3021201059796954,erythroid,0.9350487283797039,0.39622641509433965,0.3584905660377358,0.37735849056603776,0.49256959557533264,516,False,False
MAP2K3,111.9367312222094,770,0.28885271498883996,erythroid,0.9394985033569827,0.37735849056603776,0.2641509433962264,0.3207547169811321,0.04413013532757759,579,False,True
CSRNP1,98.51779107361804,320,0.37289963953024147,erythroid,0.9173723682439944,0.4716981132075472,0.16981132075471697,0.32075471698113206,0.03251616656780243,478,False,True
HOXA13,152.40326626624932,1841,0.07556426836182081,megakaryocyte,0.9771638810321921,0.05660377358490566,0.5094339622641509,0.2830188679245283,0.0001151195538113825,274,True,False
ZBTB10,163.27771708479648,2168,0.12206499410645996,megakaryocyte,0.9687604454868357,0.11320754716981132,0.4528301886792453,0.2830188679245283,0.05885691195726395,162,False,True
FOXO4,121.7359383883144,937,0.3979026705845364,erythroid,0.9335167144577542,0.4528301886792453,0.07547169811320754,0.2641509433962264,0.045694123953580856,215,False,True
JUN,113.41329956487354,675,0.10952946562883564,erythroid,0.9564446294829461,0.1320754716981132,0.39622641509433965,0.2641509433962264,0.06697944551706314,266,False,True
SLC38A2,100.30174404395196,378,0.33453765781780864,megakaryocyte,0.8288656621042808,0.41509433962264153,0.09433962264150944,0.25471698113207547,0.26686426997184753,332,False,True
KMT2A,96.65555117329592,435,0.24897632411983145,megakaryocyte,0.8128048323250442,0.3584905660377358,0.1320754716981132,0.24528301886792453,0.4524528682231903,241,False,False
CITED1,112.2776176185238,710,0.21738070618405822,erythroid,0.9364598044872168,0.2830188679245283,0.18867924528301888,0.2358490566037736,0.03959646821022034,215,False,True
MAML2,93.45982755783588,193,0.19833594164948468,megakaryocyte,0.8835469830032392,0.22641509433962265,0.20754716981132076,0.2169811320754717,0.007512204814702272,626,False,True
KIAA1804,90.3041460717916,314,0.15172194996443378,erythroid,0.8812459237185848,0.18867924528301888,0.22641509433962265,0.20754716981132076,0.0,278,False,True
PLK4,129.9693214014257,1245,0.28447635300907226,megakaryocyte,0.5646261325339766,0.33962264150943394,0.018867924528301886,0.1792452830188679,0.09315907210111618,113,False,True
ARID1A,143.63395685036818,1427,0.03748652983762878,megakaryocyte,0.9623221318834846,0.018867924528301886,0.2830188679245283,0.1509433962264151,0.4009946882724762,232,False,True
NCL,98.49216485895565,466,0.204611004726864,megakaryocyte,0.7566234551581335,0.24528301886792453,0.05660377358490566,0.1509433962264151,2.153028726577759,237,False,False
KIF18B,91.50185246309483,365,0.10847853790452114,megakaryocyte,0.8048667159523393,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.06921409070491791,254,False,False
HK2,94.44929424189387,430,0.06945088958435157,megakaryocyte,0.800425810385435,0.09433962264150944,0.11320754716981132,0.10377358490566038,0.09763972461223602,303,False,True
NIT1,172.74100333015443,2356,0.052551553849290285,megakaryocyte,0.9341407021755679,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.06581100076436996,192,False,True
