gene,L1_state,R_migration,L3_synapse,R_killing,TSC,magnitude,ISCI_orthogonal
ELOF1,0.7763231080733253,-0.234874673906406,0.5870278360055012,0.9541429933598474,-0.45959067419926936,3923.6666666666665,0.5146825396825396
NFKB1,-0.5132778225375101,-0.6361829537232341,-0.19297900187394595,1.9751908055372391,-1.0573830940522224,119.33333333333333,0.6
SLC35B1,1.2303077338092179,0.03370099045896887,0.364431222146491,-1.1093204704283828,-0.08441748019533177,759.3333333333334,0.5553571428571429
MTA3,2.2917629800754487,0.9057167903226363,0.8625613445500705,0.4876968762342176,1.1561085878241797,370.6666666666667,0.5192460317460318
LSM12,0.3411666821317867,0.3109724911265683,-0.33306446125355865,1.2068512357344523,0.2699203553529428,466.6666666666667,0.5125
BCAT2,2.3129133486935545,0.6461725274148413,1.1637648454168208,-0.5876447146843871,0.805006206451734,1330.6666666666667,0.6623015873015873
CDC25B,0.5858431475449875,-0.2917144585124233,-0.19267505185122585,0.6995332533852433,-0.5652938550963434,831.6666666666666,0.227579365079365
COX4I1,2.245939574771554,1.1311157216295025,-0.11870668279192245,-0.11679368032810002,1.4401147274715511,348.3333333333333,0.7271825396825398
RBM12,1.2577626416384007,0.33727735334363007,-0.03023772923796398,-0.5754775739762291,0.3264938875755355,314.3333333333333,0.5517857142857143
RNF8,0.6985540245419924,-0.4108103057604507,0.6557719646370501,1.0822252472891,-0.7041132699475906,128.0,0.736904761904762
L2HGDH,-0.2731824945193221,0.2541094242933803,0.843506862503589,2.9143381732646425,0.22091666083143774,113.66666666666667,0.8132936507936508
PPP2R1A,-1.2873926203429535,-0.2929699150004553,0.518094066428266,4.295288587815612,-0.5644376410004908,191.0,0.5896825396825397
PGK1,0.1976324691610214,0.14000765631534,0.08022939929775705,0.09939433625709893,0.045058683827537034,336.6666666666667,0.5454365079365079
COMMD8,0.8550418739612438,0.9110550046623525,0.4457571281504448,0.07841619184836979,1.1397754149981991,115.66666666666667,0.4287698412698413
BATF,1.4517338900567756,0.727115609286743,1.2044515243487361,-0.406523751006488,0.9125718273638442,541.3333333333334,0.6583333333333333
PPCDC,1.429114913749052,-0.32446437758119284,-0.6101230144707558,0.4464884733575664,-0.6176931815001783,548.3333333333334,0.2178571428571428
TSTD2,0.1883285752812851,0.6688013554197335,-0.004606945923464243,0.816941835838051,0.7802259646831909,340.6666666666667,0.7351190476190477
UBR4,-0.07719477774967382,1.045282484859948,1.8182472638578258,-1.1876561143014148,1.3667822208595908,768.0,0.6037698412698412
HSD17B10,2.032445185034027,1.2848989422683368,-0.11801117929457441,-0.6931649317299143,1.6544385422756074,381.6666666666667,0.5698412698412698
BCL10,-0.14983051055716518,0.9042048859734663,2.4735002611735877,1.6572817129861568,1.1854371207424717,2145.6666666666665,0.6936507936507936
CPOX,1.7252599364648609,0.361430704380297,0.2565304907819876,-0.2827968989727611,0.37262065571801223,114.33333333333333,0.3837301587301587
CABIN1,1.2877154262266086,0.1527043050951425,-0.32112851907080014,-0.9904718227613568,0.06000198101048057,133.33333333333334,0.4382936507936508
MRPL3,2.4708579773131043,0.39694590558862514,-0.17937089543500495,0.02090643000782399,0.4133685256456437,249.66666666666666,0.5900793650793651
HCCS,2.5034782447702635,0.11466488787587041,-0.00732965801277141,-0.5697901920515772,0.025580563388665475,1170.0,0.6299603174603174
XRRA1,2.262598342259624,0.19786725881251785,0.6292899476939914,-0.5071844477866924,0.16052665271230662,847.6666666666666,0.483531746031746
YY1,2.162080534197611,0.7736444311096439,0.6888511675896943,-1.0817392951638294,0.9675099522868573,648.3333333333334,0.4722222222222222
CCAR1,0.6338803123543655,0.6542622641716866,0.20962757678354726,-0.8821307901737719,0.7730929504807451,151.33333333333334,0.4682539682539682
IMPDH2,0.10698854760217236,-0.23988826418327136,0.3742929170399935,2.4104516279536177,-0.48104768818409127,538.3333333333334,0.6930555555555555
GANAB,1.6116634657228897,1.3998124563718233,0.6559513108900936,-0.8890025705790499,1.8372106050838066,436.0,0.2904761904761904
MBIP,-0.17626380339388067,0.1639349529108187,0.6998432720797906,2.248202310661096,0.09207756751409577,135.0,0.7563492063492063
QRSL1,2.1462568280805563,0.3730278811306306,0.5526028147398901,-0.8869910072503941,0.402644861609976,127.66666666666667,0.7075396825396826
MAU2,1.8719045398504064,-0.9307183536063253,-0.968990398188246,-0.4042592655643338,-1.4719472978594004,288.3333333333333,0.7293650793650793
MED19,1.7600651180719167,1.1787105964006295,0.4990469777044684,-2.709651037118855,1.5272544905754069,2383.6666666666665,0.3869047619047619
BCS1L,1.7011137890294161,0.3743735127214123,-0.20200522319708264,-0.19524069571818672,0.3755514320065578,959.6666666666666,0.6123015873015873
TFAM,2.624724553861454,1.415134614516057,0.1661193558690541,-1.0095168185134258,1.8507467152482178,1373.3333333333333,0.5910714285714286
COA3,0.8159348935253353,0.0641481836226284,0.44019569039029494,1.279304279133428,-0.04658589360875267,299.6666666666667,0.5686507936507936
MTHFD1,0.2313667107563777,1.0749372991800172,0.5478348354317959,1.7646913941352196,1.3645587017689278,441.3333333333333,0.7027777777777777
TAF13,0.6184232200736647,-0.401422825606273,0.07846035243601053,0.27093695103328735,-0.7089146741046876,2544.0,0.7936507936507937
SOCS4,0.43546482541574283,1.1919740570324227,0.8176665511258097,0.769465125484075,1.540120354363065,310.3333333333333,0.6946428571428571
IBA57,2.251127638253682,1.1611866425257884,0.6965180586699299,-0.46347685898713453,1.5091371053446752,357.3333333333333,0.5091269841269841
LETM2,0.5410475540817632,-0.08489172342451885,0.5187231901151008,3.2761653250915757,-0.2578396569521312,150.33333333333334,0.6553571428571429
MRPS12,1.1080333734995151,1.1497557783812664,0.4587902476178282,-0.08713812027271246,1.476085102022405,175.66666666666666,0.4728174603174603
CSNK2A1,0.8841870399472669,0.495849731803877,1.0859201321939018,1.492351625430383,0.5779267715892119,242.66666666666666,0.586111111111111
COX10,0.729378754197205,0.888213613537993,0.09003774254234413,0.6483744375968881,1.0944231025402444,237.66666666666666,0.6867063492063492
GAS2L1,1.8289823808627876,1.4216990906160316,0.28841496803129335,-0.9197468960911886,1.8576342599007416,159.66666666666666,0.8053571428571429
CAP1,0.250411094487791,0.6985408966354376,0.5732141161500414,0.4305704629403427,0.8416093193985249,124.0,0.252579365079365
PGP,0.6512710664515043,0.5271711458381722,-0.06352120085633343,0.11416575849113153,0.5850635684822202,164.33333333333334,0.6571428571428571
ATAD5,-1.8375996156504883,0.03686171690339294,0.8926357330562982,1.410020390561214,-0.09063497285157995,3621.0,0.6337301587301587
SKIC8,-0.24838487231725834,-0.7515270915490442,0.1624058041468448,0.8347318355063108,-1.203184119164289,1613.3333333333333,0.6783730158730159
PPP4C,0.9993945856193646,0.39710167483813624,-0.14215695233868034,-0.631544623709395,0.4046165740364669,117.0,0.7398809523809524
DHPS,0.7356512877709802,0.9237887913740189,-0.15195272268205148,1.5718101566944773,1.1348252071672569,414.3333333333333,0.4623015873015872
DUSP12,1.1785087532950975,-0.22812052347107842,0.3610792930418158,0.7085414015535031,-0.45396505296247536,829.0,0.4603174603174603
EXT2,1.2161313890735719,0.2698044320911979,0.225996160270427,-0.9411100465885345,0.24075698287662634,136.33333333333334,0.5279761904761905
ATP5PO,1.218966349949579,0.735251051007441,0.25298281282661966,-0.09042756278900906,0.8908593097292099,558.0,0.3807539682539683
CBFB,3.8602337800712547,0.3632150838561746,-1.0232347508708728,-3.4712980075019764,0.35542257578235453,1033.3333333333333,0.6394841269841269
TLN1,1.2606940348089284,0.9111949224296291,-0.022409709448740406,-0.643497212893739,1.1291469968988745,184.66666666666666,0.5904761904761905
COA5,1.8931327415733223,0.6370321330763946,-0.016415949459153027,-1.3816309177403923,0.7521774704437043,213.33333333333334,0.7632936507936507
NASP,1.0144034983297898,0.627715376590331,0.21522088441336187,-0.08286376426513242,0.7377377662594873,122.66666666666667,0.5222222222222223
MRPS25,1.3955494438590201,1.2883172246244403,0.2559402076258533,-0.2873515621029204,1.6657532919319806,472.3333333333333,0.5214285714285715
PPP1R11,1.1483571212781711,-0.5968988698171216,-0.5593834649029396,2.5192074489344325,-1.002507715969615,652.0,0.6246031746031746
ACAD11,1.5795990106529292,-0.4441807366988421,-0.7211462610747594,-0.3424678956590648,-0.7861561988237545,397.0,0.6398809523809523
INO80B,1.5544061692503557,-0.042943899854397845,0.23540844507925598,-0.282608414394395,-0.19463509757210667,256.3333333333333,0.6434523809523809
ZNF71,0.32191702093520624,-0.23060844440272962,0.35538522269834155,1.4883902479295745,-0.46549459207349536,122.33333333333333,0.3692460317460317
COMMD5,1.3194224442709765,0.7665703741035795,0.3517554380284513,-0.7965347971027267,0.9397879550056476,117.66666666666667,0.5696428571428571
LRP5,0.7965337433817464,1.173846897087753,0.7785261421731269,0.36668439050270574,1.5169556026130793,103.66666666666667,0.5996031746031746
FZD6,0.7612643432971234,0.35276443232320986,0.3343630742475226,-0.6989074013462139,0.35633977393447164,497.3333333333333,0.296031746031746
AMBRA1,2.353918739536618,0.0036789599627773395,-0.16461178624917133,-1.937042277524518,-0.1335020038062819,210.0,0.6634920634920635
STX16,0.980662349093411,1.0590521570408853,1.0110650433213042,-0.7703386497248568,1.3673252978093937,627.6666666666666,0.0781746031746031
MTHFD1L,1.3470955975038101,-0.8097097201793636,0.04396750874517844,0.40664745336002023,-1.2754109437610592,252.0,0.4388888888888889
UBA5,2.329081897671492,0.08128132557418029,-0.5804149546488223,-0.6377535216371406,-0.04084139127379469,383.0,0.8146825396825397
PARS2,0.8996742324091634,1.0789234427407002,-0.05370825637116632,0.5187979805552839,1.3578834766996672,432.3333333333333,0.4932539682539683
BAP1,0.6560184877875375,-1.699346790153714,-0.17577546861802765,0.13562089295384022,-2.5309539787245012,161.33333333333334,0.5089285714285714
MRPS35,2.3481976758353893,0.5008350608425092,-0.3994963360592871,0.3712151706700193,0.5499461189442122,420.3333333333333,0.7001984126984127
TBX21,2.8619350801825947,1.7546304457083972,1.1270920257829424,-3.689764723374729,2.362710631174974,250.33333333333334,0.7946428571428571
GCN1,1.593121768028579,-0.16527212655034715,-0.7159565148319854,-1.401068787995701,-0.39423039338334237,135.0,0.7492063492063492
MBD2,0.8824451796458708,-0.8636153480055616,-0.019024393523149656,0.5677246340725975,-1.3566296688968764,562.3333333333334,0.4726190476190476
ACSS1,0.5846016503594639,0.0010921561775755445,0.49827228248603805,-0.08611173064377281,-0.13233277891507275,122.0,0.7075396825396826
CNOT11,0.5683888843551439,0.04413236551194214,0.45761461361219125,0.5202619391694083,-0.07462436577199712,466.6666666666667,0.171031746031746
